Energy(eV) DOS(1/eV/m^3) DOS_Norm(CodeUnits)
0.26 4.56745e+26 0.0597524
0.261 4.57622e+26 0.0598672
0.262 4.58498e+26 0.0599818
0.263 4.59372e+26 0.0600961
0.264 4.60245e+26 0.0602103
0.265 4.61116e+26 0.0603242
0.266 4.61985e+26 0.0604379
0.267 4.62852e+26 0.0605514
0.268 4.63718e+26 0.0606647
0.269 4.64583e+26 0.0607778
0.27 4.65446e+26 0.0608907
0.271 4.66307e+26 0.0610033
0.272 4.67166e+26 0.0611158
0.273 4.68024e+26 0.061228
0.274 4.68881e+26 0.06134
0.275 4.69735e+26 0.0614519
0.276 4.70589e+26 0.0615635
0.277 4.7144e+26 0.0616749
0.278 4.72291e+26 0.0617861
0.279 4.73139e+26 0.0618972
0.28 4.73987e+26 0.062008
0.281 4.74832e+26 0.0621186
0.282 4.75676e+26 0.0622291
0.283 4.76519e+26 0.0623393
0.284 4.7736e+26 0.0624493
0.285 4.782e+26 0.0625592
0.286 4.79038e+26 0.0626689
0.287 4.79875e+26 0.0627783
0.288 4.8071e+26 0.0628876
0.289 4.81544e+26 0.0629967
0.29 4.82376e+26 0.0631056
0.291 4.83207e+26 0.0632143
0.292 4.84037e+26 0.0633228
0.293 4.84865e+26 0.0634311
0.294 4.85692e+26 0.0635393
0.295 4.86517e+26 0.0636473
0.296 4.87341e+26 0.063755
0.297 4.88163e+26 0.0638627
0.298 4.88985e+26 0.0639701
0.299 4.89804e+26 0.0640773
0.3 4.90623e+26 0.0641844
0.301 4.9144e+26 0.0642913
0.302 4.92255e+26 0.064398
0.303 4.9307e+26 0.0645045
0.304 4.93883e+26 0.0646109
0.305 4.94694e+26 0.064717
0.306 4.95505e+26 0.064823
0.307 4.96314e+26 0.0649289
0.308 4.97121e+26 0.0650345
0.309 4.97928e+26 0.06514
0.31 4.98733e+26 0.0652454
0.311 4.99536e+26 0.0653505
0.312 5.00339e+26 0.0654555
0.313 5.0114e+26 0.0655603
0.314 5.0194e+26 0.0656649
0.315 5.02739e+26 0.0657694
0.316 5.03536e+26 0.0658737
0.317 5.04332e+26 0.0659779
0.318 5.05127e+26 0.0660819
0.319 5.05921e+26 0.0661857
0.32 5.06713e+26 0.0662893
0.321 5.07504e+26 0.0663928
0.322 5.08294e+26 0.0664962
0.323 5.09083e+26 0.0665993
0.324 5.0987e+26 0.0667024
0.325 5.10656e+26 0.0668052
0.326 5.11441e+26 0.0669079
0.327 5.12225e+26 0.0670105
0.328 5.13008e+26 0.0671128
0.329 5.13789e+26 0.0672151
0.33 5.14569e+26 0.0673171
0.331 5.15348e+26 0.0674191
0.332 5.16126e+26 0.0675208
0.333 5.16903e+26 0.0676224
0.334 5.17679e+26 0.0677239
0.335 5.18453e+26 0.0678252
0.336 5.19226e+26 0.0679264
0.337 5.19998e+26 0.0680274
0.338 5.20769e+26 0.0681282
0.339 5.21539e+26 0.0682289
0.34 5.22308e+26 0.0683295
0.341 5.23075e+26 0.0684299
0.342 5.23842e+26 0.0685302
0.343 5.24607e+26 0.0686303
0.344 5.25371e+26 0.0687303
0.345 5.26134e+26 0.0688301
0.346 5.26896e+26 0.0689298
0.347 5.27657e+26 0.0690293
0.348 5.28417e+26 0.0691287
0.349 5.29175e+26 0.0692279
0.35 5.29933e+26 0.0693271
0.351 5.3069e+26 0.069426
0.352 5.31445e+26 0.0695249
0.353 5.32199e+26 0.0696235
0.354 5.32953e+26 0.0697221
0.355 5.33705e+26 0.0698205
0.356 5.34456e+26 0.0699188
0.357 5.35206e+26 0.0700169
0.358 5.35955e+26 0.0701149
0.359 5.36703e+26 0.0702127
0.36 5.3745e+26 0.0703105
0.361 5.38196e+26 0.0704081
0.362 5.38941e+26 0.0705055
0.363 5.39685e+26 0.0706028
0.364 5.40428e+26 0.0707
0.365 5.4117e+26 0.070797
0.366 5.4191e+26 0.070894
0.367 5.4265e+26 0.0709907
0.368 5.43389e+26 0.0710874
0.369 5.44127e+26 0.0711839
0.37 5.44864e+26 0.0712803
0.371 5.45599e+26 0.0713766
0.372 5.46334e+26 0.0714727
0.373 5.47068e+26 0.0715687
0.374 5.47801e+26 0.0716646
0.375 5.48533e+26 0.0717603
